,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
12274,50,admin.,single,secondary,no,1318,no,yes,unknown,24,jun,146,3,-1,0,unknown,no
13042,46,blue-collar,married,primary,no,-169,yes,yes,cellular,8,jul,109,1,-1,0,unknown,no
27876,50,blue-collar,single,tertiary,no,218,no,no,cellular,28,jan,268,1,-1,0,unknown,no
23538,37,technician,married,secondary,no,1309,yes,no,cellular,28,aug,77,4,-1,0,unknown,no
32986,30,blue-collar,single,secondary,no,103,yes,no,cellular,17,apr,2053,2,317,1,other,no
23782,33,management,single,tertiary,no,2059,no,no,cellular,29,aug,106,2,-1,0,unknown,no
34310,28,blue-collar,single,primary,no,551,no,no,cellular,4,may,264,3,-1,0,unknown,no
40384,61,retired,married,secondary,no,3340,no,no,cellular,30,jun,224,1,-1,0,unknown,no
27443,31,unknown,married,secondary,no,111,no,no,cellular,21,nov,504,2,93,2,failure,yes
31305,43,technician,married,secondary,no,1358,no,no,cellular,10,mar,159,3,-1,0,unknown,yes
2871,44,services,single,secondary,no,0,yes,no,unknown,14,may,198,1,-1,0,unknown,no
36932,44,admin.,single,secondary,no,469,yes,yes,cellular,12,may,158,2,-1,0,unknown,no
28010,42,management,married,tertiary,no,157,yes,yes,cellular,28,jan,136,1,-1,0,unknown,no
11797,36,blue-collar,married,secondary,no,0,no,no,unknown,20,jun,332,3,-1,0,unknown,no
44057,63,retired,married,secondary,no,2896,no,no,cellular,1,jul,304,1,119,2,success,yes
15378,46,admin.,divorced,primary,no,505,no,yes,cellular,18,jul,119,4,-1,0,unknown,no
17023,33,blue-collar,single,secondary,no,0,no,no,telephone,25,jul,511,1,-1,0,unknown,no
34156,29,unemployed,single,secondary,no,486,no,no,telephone,30,apr,95,1,-1,0,unknown,no
5132,30,blue-collar,married,unknown,no,198,yes,no,unknown,21,may,149,3,-1,0,unknown,no
41732,53,housemaid,married,primary,no,0,no,no,cellular,8,oct,148,1,-1,0,unknown,no
33996,29,management,single,tertiary,no,91,no,no,cellular,30,apr,99,1,274,4,other,no
2944,60,retired,married,secondary,no,3932,yes,no,unknown,14,may,407,2,-1,0,unknown,no
16075,57,technician,married,secondary,no,272,no,yes,telephone,22,jul,563,1,-1,0,unknown,no
9216,59,management,married,primary,no,2269,no,yes,unknown,5,jun,158,1,-1,0,unknown,no
16302,55,retired,married,primary,no,159,yes,yes,telephone,23,jul,184,1,-1,0,unknown,no
33898,33,management,married,tertiary,no,158,no,no,cellular,30,apr,169,2,83,2,success,no
30898,32,self-employed,single,secondary,no,360,yes,no,cellular,9,feb,175,3,259,4,failure,no
635,52,services,married,secondary,no,660,no,no,unknown,6,may,201,2,-1,0,unknown,no
30936,49,blue-collar,single,primary,no,48,no,no,cellular,9,feb,433,3,-1,0,unknown,no
16130,59,housemaid,married,primary,no,0,yes,no,cellular,22,jul,186,2,-1,0,unknown,no
24613,41,management,married,tertiary,no,653,yes,no,telephone,17,nov,60,2,-1,0,unknown,no
